segment,questions,mean_recall_at_5,mean_recall_at_10,hit_rate_at_5,hit_rate_at_10,mrr
overall,19,0.2704260651629073,0.4197368421052632,0.8421052631578947,1.0,0.5197368421052632
analytical,10,0.2269047619047619,0.26357142857142857,0.9,1.0,0.525
comparative,5,0.25,0.4583333333333333,0.6,1.0,0.5583333333333333
factual,4,0.40476190476190477,0.7619047619047619,1.0,1.0,0.4583333333333333
route:hybrid,9,0.16772486772486772,0.2917989417989418,0.6666666666666666,1.0,0.4212962962962963
route:retrieval,10,0.3628571428571429,0.5348809523809523,1.0,1.0,0.6083333333333333
