segment,questions,mean_recall_at_5,mean_recall_at_10,hit_rate_at_5,hit_rate_at_10,mrr
overall,19,0.2652255639097745,0.47637844611528807,0.7894736842105263,0.8421052631578947,0.5822187046563778
analytical,10,0.11107142857142856,0.2545238095238095,0.7,0.8,0.44454887218045114
comparative,5,0.33333333333333337,0.5583333333333333,0.8,0.8,0.6566666666666666
factual,4,0.5654761904761905,0.9285714285714286,1.0,1.0,0.8333333333333334
route:hybrid,9,0.1630952380952381,0.2973544973544973,0.7777777777777778,0.7777777777777778,0.4539961013645224
route:retrieval,10,0.3571428571428571,0.6375000000000001,0.8,0.9,0.6976190476190476
