segment,questions,mean_recall_at_5,mean_recall_at_10,hit_rate_at_5,hit_rate_at_10,mrr
overall,19,0.24060150375939848,0.3784461152882206,0.5789473684210527,0.631578947368421,0.42422143876437507
analytical,10,0.060119047619047614,0.09345238095238095,0.3,0.4,0.21435406698564594
comparative,5,0.3416666666666667,0.5083333333333333,0.8,0.8,0.65
factual,4,0.5654761904761905,0.9285714285714286,1.0,1.0,0.6666666666666666
route:hybrid,9,0.12962962962962962,0.22685185185185183,0.4444444444444444,0.5555555555555556,0.32150451887293996
route:retrieval,10,0.3404761904761905,0.5148809523809523,0.7,0.7,0.5166666666666666
